region,date,p50_pcwd,p25_pcwd,p75_pcwd,.group
Bern,2021-09-25,7.387827364029736,6.280733478875322,7.845167271606864,1
Bern,2021-09-26,0.8558950368473526,0,1.6689890752529273,1
Bern,2021-09-27,2.5568498497251966,1.7178493244118287,3.1409818721584575,1
Bern,2021-09-28,2.7025303152950464,1.2701282664540732,3.3881032168236724,1
Bern,2021-09-29,0.8989759217468527,0.06377912576413258,1.8867953002856244,1
Bern,2021-09-30,2.605168165306313,1.6937948049884657,3.6772997411339823,1
Bern,2021-10-01,3.690755946438791,2.4813646239130067,4.6001671910675554,1
Bern,2021-10-02,5.7261734895576994,4.500326377745913,6.582086493778529,1
Bern,2021-10-03,0,0,0,1
Bern,2021-10-04,0,0,0,1
Bern,2021-10-05,0,0,0,1
Bern,2021-10-06,0,0,0,1
Bern,2021-10-07,0.13056764341342975,0.0032889822209795083,0.24726576101818448,1
Bern,2021-10-08,1.3346150583344492,1.2316796106553753,1.4474998351058206,1
Bern,2021-10-09,2.5805696543724523,2.3912077179934514,2.7720270165454632,1
Bern,2021-10-10,3.803525010635735,3.5142213103194733,4.068363182598501,1
Bern,2021-10-11,5.014259286172949,4.617205963346828,5.276684570966323,1
Bern,2021-10-12,4.16635995609812,3.848317623822908,4.9381739612329305,1
Bern,2021-10-13,3.5650226388853765,2.7822814807484955,3.948667345040808,1
Bern,2021-10-14,4.45206267064199,3.7986843974364506,5.072914819890416,1
Bern,2021-10-15,5.319958553926249,4.864515123118738,6.3277817794434466,1
Bern,2021-10-16,6.310851939886271,5.822052468619306,7.502682597333344,1
Bern,2021-10-17,7.307051764947582,6.932087347188575,8.72750146551138,1
Bern,2021-10-18,8.589107688955274,8.278258977037098,10.126503000709878,1
Bern,2021-10-19,9.60869432439714,9.3309819648502,10.246009470572838,1
Bern,2021-10-20,10.746056417979283,9.529626285709712,11.226938352777601,1
Bern,2021-10-21,2.2878267877186067,0.8913241576584245,6.2006383955271005,1
Bern,2021-10-22,2.3455557748693954,0.15601728867582088,4.789140414428804,1
Bern,2021-10-23,3.0774528874039753,1.0008020770624175,5.489716651315506,1
Bern,2021-10-24,3.8736128851888485,1.8382617430891517,6.323863607166532,1
Bern,2021-10-25,4.756532985691674,2.831001822341749,7.384671885104135,1
Bern,2021-10-26,5.276432627936066,3.3763689598786817,7.909395096196239,1
Bern,2021-10-27,5.97429766494014,4.199022436762352,8.716038169171746,1
Bern,2021-10-28,6.555633917105016,4.959869240170507,9.494326416223055,1
Bern,2021-10-29,7.1556649632719855,5.754087169194209,10.30738815113728,1
Bern,2021-10-30,2.353277395589481,0.344983961872392,7.312906738807253,1
Bern,2021-10-31,2.763729326964257,0.9460724763540675,8.07335138586521,1
Bern,2021-11-01,0,0,0,1
Bern,2021-11-02,0.15238021857144246,0.004187112015497336,0.43053009177728807,1
Bern,2021-11-03,0.16490288194664016,0,0.5520080904206195,1
Bern,2021-11-04,0.17514855860808345,0,0.7316103110555776,1
Bern,2021-11-05,0.3904181060648039,0.13076423266410064,0.9456547242416217,1
Bern,2021-11-06,0.585128365853614,0.11673634480742613,1.0264451310799148,1
Bern,2021-11-07,1.017841703629379,0.20412436366359166,1.298199341546146,1
Bern,2021-11-08,1.0459680999695744,0.09162745030611251,1.469366782273677,1
Bern,2021-11-09,1.2812242478055709,0.1625839637061724,1.7396556952991458,1
Bern,2021-11-10,0.859927786488821,0.028663996101947475,1.540368625352757,1
Bern,2021-11-11,0.824271617224221,0.028824798015789604,1.687632730553853,1
Bern,2021-11-12,1.155883516647448,0.10474362216126484,2.0173407233755127,1
Bern,2021-11-13,0.2176028290900277,0.02098939128095717,2.009155216210739,1
Bern,2021-11-14,0.1463990169546454,0,1.8511706301332043,1
Bern,2021-11-15,0,0,1.882831817714502,1
Bern,2021-11-16,0.44304028467483436,0.29873759549967405,1.947276645105279,1
Bern,2021-11-17,0.5191080715613096,0.17548438423705384,1.9510939782718055,1
Bern,2021-11-18,0.48821391761725774,0.0951361317834041,1.7977435360529945,1
Bern,2021-11-19,0.6093226027838354,0.1963807455260196,1.710209701181377,1
Bern,2021-11-20,0.8072319519869264,0.18198421263345685,1.5839132805769154,1
Bern,2021-11-21,0.5162104511662902,0.05044583328829482,1.6865789647389524,1
Bern,2021-11-22,0.7890294252929052,0.07715629555634351,1.8136516698411451,1
Bern,2021-11-23,0.7809493644382726,0.07010888492919312,1.8901727702515712,1
Bern,2021-11-24,0.8057145694058326,0.027770438969229084,1.9318016667787905,1
Bern,2021-11-25,0.8571174196472212,0.05214227223945367,1.9951917170086406,1
Bern,2021-11-26,0.7623799715458781,0,1.9165470794723052,1
Bern,2021-11-27,0.6843596685467896,0,1.871589751947882,1
Bern,2021-11-28,0.7035636947481618,0.022505732914667433,1.9240072799065402,1
Bern,2021-11-29,0.6643930655827106,0.0021753526563344505,1.933154259424262,1
Bern,2021-11-30,0.7392693904517622,0.07824520346644408,2.0922198351777594,1
Bern,2021-12-01,0.7841263953112763,0.04280440398660677,2.1754022112865905,1
Bern,2021-12-02,0.6908233693366473,0,2.124250226819837,1
Bern,2021-12-03,0.6684105229102579,0.08974196809655766,2.246619230490899,1
Bern,2021-12-04,0.6997641961078068,0.0010790801874765172,2.2435085467557037,1
Bern,2021-12-05,0.5112069048758009,0,2.0259685949115815,1
Bern,2021-12-06,0.4783790772201995,0,2.0046817405881243,1
Bern,2021-12-07,0.5550727692621854,0.06866498404909929,2.1335820721845127,1
Bern,2021-12-08,0.561063530596809,0.10148126524497036,2.167828821156653,1
Bern,2021-12-09,0.4188964219260507,0,2.047139591514327,1
Bern,2021-12-10,0.43257164274350196,0.031530892399695365,2.075124621344109,1
Bern,2021-12-11,0.3710323190613562,0,2.0430981895942755,1
Bern,2021-12-12,0.35079054628952216,0,2.0008399959758325,1
Bern,2021-12-13,0.28359456492679636,0,1.8829819558288758,1
Bern,2021-12-14,0.1822849319004679,0,1.7365865259878477,1
Bern,2021-12-15,0.10195207406248756,0,1.654722734483343,1
Bern,2021-12-16,0,0,1.4095972446828549,1
Bern,2021-12-17,0,0,1.1990581310604722,1
Bern,2021-12-18,0,0,1.0523998244218038,1
Bern,2021-12-19,0,0,0.9131482021737383,1
Bern,2021-12-20,0,0,0.7299172956640092,1
Bern,2021-12-21,0,0,0.5395139512510057,1
Bern,2021-12-22,0,0,0.3621363343982324,1
Bern,2021-12-23,0.054780872448975226,0.010819682502305817,0.38428342307159324,1
Bern,2021-12-24,0.17247523076226873,0.04064469183747931,0.4596077782229975,1
Bern,2021-12-25,0.2125672555731753,0.04964835765050991,0.481439829541565,1
Bern,2021-12-26,0.21109105505376835,0.045040973537876394,0.5007166144307165,1
Bern,2021-12-27,0.1482168369181665,0.02975023250802919,0.36930701069033844,1
Bern,2021-12-28,0.2782009407058899,0.06317409217916642,0.4673700267623836,1
Bern,2021-12-29,0,0,0.2375287134212135,1
Bern,2021-12-30,0,0,0,1
Bern,2021-12-31,0,0,0,1
